Product ID,Product Name,Brand,Brand Type,Category,Size,Price,Cost,Profit Margin,Launch Date,Sales Channel,Country,City,Sales Volume,Revenue,Return Rate,Customer Reviews,Marketing Spend,Advertising Platform,Promotion Type,Promotion Start Date,Promotion End Date,Inventory Level,Order Fulfillment Time,Shipping Costs,CAC,CLTV,Seasonality Index,Trend Analysis,Customer Feedback,Marketing Strategy,,,,,,,,,,,,,,,,,,
1,Chanel No. 5,Chanel,Luxury,Floral,100ml,150,75,50,05-05-1921,Retail,France,Paris,2000,300000,1,4.9,20000,Social Media,Discount,01-06-2023,15-06-2023,100,2,8,15,350,Stable,Timeless classic!,Europe,Influencer collaborations,,,,,,,,,,,,,,,,,,
2,Black Opium,Yves Saint Laurent,Luxury,Oriental,90ml,130,65,50,01-09-2014,Online,France,Paris,1800,234000,2,4.8,15000,Google Ads,Gift with Purchase,10-07-2023,25-07-2023,200,3,10,20,320,Increasing,Seductive and bold!,Europe,Seasonal campaigns,,,,,,,,,,,,,,,,,,
3,Victoria's Secret Bombshell,Victoria's Secret,Mass Market,Fruity,100ml,80,40,50,01-01-2010,Retail,USA,New York,1500,120000,3,4.6,12000,Social Media,Discount,15-08-2023,30-08-2023,250,3,5,10,220,Stable,Fruity and floral!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
4,Flowerbomb,Viktor & Rolf,Luxury,Floral,100ml,120,60,50,01-09-2005,Retail,Netherlands,Amsterdam,1500,180000,3,4.7,12000,Social Media,Discount,20-05-2023,05-06-2023,250,4,7,15,280,Decreasing,Explosive floral bouquet!,Europe,High-end advertising,,,,,,,,,,,,,,,,,,
5,Aventus,Creed,Luxury,Woody,100ml,300,150,50,01-04-2010,Wholesale,UK,London,1200,360000,2,4.6,25000,Google Ads,Gift with Purchase,01-08-2023,15-08-2023,150,3,12,25,400,Stable,Rich and fruity!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
6,Love Spell,Victoria's Secret,Mass Market,Fruity,100ml,75,35,53,01-01-2000,Retail,USA,Los Angeles,1300,97500,2,4.7,13000,Social Media,Discount,01-09-2023,15-09-2023,250,2,6,10,240,Stable,Flirty and fun!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
7,La Vie Est Belle,Lancôme,Luxury,Floral,75ml,125,60,52,01-09-2012,Online,France,Paris,1600,200000,3,4.8,13000,Google Ads,Gift with Purchase,10-06-2023,25-06-2023,250,3,11,20,310,Stable,Joyful and vibrant!,Europe,Email marketing,,,,,,,,,,,,,,,,,,
8,Daisy,Marc Jacobs,Luxury,Floral,100ml,125,55,56,01-04-2007,Retail,USA,New York,1700,212500,1,4.5,12000,Social Media,Discount,01-09-2023,15-09-2023,250,3,10,15,260,Increasing,Playful and bright!,America,High-end advertising,,,,,,,,,,,,,,,,,,
9,Angel,Thierry Mugler,Luxury,Oriental,100ml,130,65,50,01-10-1992,Retail,France,Paris,1700,221000,2,4.7,15000,Google Ads,Gift with Purchase,10-08-2023,25-08-2023,300,3,10,20,290,Stable,Sweet and gourmand!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
10,Green Irish Tweed,Creed,Luxury,Woody,100ml,350,175,50,01-01-1985,Wholesale,UK,London,900,315000,1,4.8,25000,Google Ads,Gift with Purchase,01-06-2023,15-06-2023,100,3,12,25,400,Stable,Fresh and clean!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
